モデル名,フレーム数,FPS[/s],動画時間[s],処理時間[s],1フレームあたりの処理時間[ms],検出した人数,ファイルパス
yolo26l-pose,536,57.883,9.26,10.039,18.73,1,data_yolo/移動/路側/距離5m/奥/確認横断/resize.mov
yolo26l-pose,666,59.636,11.168,12.442,18.681,1,data_yolo/移動/路側/距離10m/奥/確認横断/resize.mov
yolo26l-pose,482,57.672,8.358,9.047,18.769,2,data_yolo/移動/車載1/距離5m/手前/素通り/resize.mov
yolo26l-pose,427,56.825,7.514,7.941,18.596,1,data_yolo/移動/車載1/距離5m/手前/確認横断/resize.mov
yolo26l-pose,641,57.882,11.074,12.092,18.864,1,data_yolo/移動/車載1/距離5m/手前/停止素通り/resize.mov
yolo26l-pose,144,51.807,2.78,2.696,18.721,1,data_yolo/移動/車載1/距離5m/手前/走行横断/resize.mov
yolo26l-pose,615,59.97,10.255,11.619,18.893,4,data_yolo/移動/車載1/距離5m/奥/素通り/resize.mov
yolo26l-pose,821,59.76,13.738,15.433,18.798,1,data_yolo/移動/車載1/距離5m/奥/確認横断/resize.mov
yolo26l-pose,688,60.0,11.467,12.932,18.796,1,data_yolo/移動/車載1/距離5m/奥/不確認横断/resize.mov
yolo26l-pose,670,59.149,11.327,12.574,18.767,1,data_yolo/移動/車載1/距離5m/奥/停止素通り/resize.mov
yolo26l-pose,297,56.953,5.215,5.55,18.686,1,data_yolo/移動/車載1/距離5m/奥/走行横断/resize.mov
yolo26l-pose,780,59.074,13.204,14.606,18.726,1,data_yolo/移動/車載1/距離15m/手前/素通り/resize.mov
yolo26l-pose,860,58.23,14.769,16.47,19.151,1,data_yolo/移動/車載1/距離15m/手前/確認横断/resize.mov
yolo26l-pose,775,59.437,13.039,14.717,18.99,1,data_yolo/移動/車載1/距離15m/手前/不確認横断/resize.mov
yolo26l-pose,962,59.455,16.18,17.971,18.681,1,data_yolo/移動/車載1/距離15m/手前/停止素通り/resize.mov
yolo26l-pose,345,58.012,5.947,6.607,19.151,2,data_yolo/移動/車載1/距離15m/手前/走行横断/resize.mov
yolo26l-pose,898,59.98,14.972,17.039,18.975,1,data_yolo/移動/車載1/距離10m/手前/素通り/resize.mov
yolo26l-pose,604,59.49,10.153,11.318,18.738,1,data_yolo/移動/車載1/距離10m/手前/確認横断/resize.mov
yolo26l-pose,578,58.699,9.847,11.17,19.325,1,data_yolo/移動/車載1/距離10m/手前/不確認横断/resize.mov
yolo26l-pose,961,58.453,16.441,18.003,18.733,2,data_yolo/移動/車載1/距離10m/手前/停止素通り/resize.mov
yolo26l-pose,285,58.654,4.859,5.388,18.905,1,data_yolo/移動/車載1/距離10m/手前/走行横断/resize.mov
yolo26l-pose,664,58.177,11.413,12.612,18.994,1,data_yolo/移動/車載1/距離10m/奥/素通り/resize.mov
yolo26l-pose,702,58.06,12.091,13.138,18.716,1,data_yolo/移動/車載1/距離10m/奥/確認横断/resize.mov
yolo26l-pose,682,58.752,11.608,12.774,18.731,1,data_yolo/移動/車載1/距離10m/奥/不確認横断/resize.mov
yolo26l-pose,761,58.687,12.967,14.236,18.707,1,data_yolo/移動/車載1/距離10m/奥/停止素通り/resize.mov
yolo26l-pose,358,57.085,6.271,6.716,18.759,1,data_yolo/移動/車載1/距離10m/奥/走行横断/resize.mov
yolo26l-pose,437,58.085,7.523,8.261,18.904,1,data_yolo/移動/車載2/距離5m/手前/素通り/resize.mov
yolo26l-pose,255,58.207,4.381,4.774,18.722,1,data_yolo/移動/車載2/距離5m/手前/確認横断/resize.mov
yolo26l-pose,263,55.664,4.725,5.046,19.188,2,data_yolo/移動/車載2/距離5m/手前/不確認横断/resize.mov
yolo26l-pose,671,59.973,11.188,12.57,18.733,1,data_yolo/移動/車載2/距離5m/手前/停止素通り/resize.mov
yolo26l-pose,142,54.14,2.623,2.682,18.888,1,data_yolo/移動/車載2/距離5m/手前/走行横断/resize.mov
yolo26l-pose,487,59.975,8.12,9.35,19.2,2,data_yolo/移動/車載2/距離5m/奥/素通り/resize.mov
yolo26l-pose,501,59.976,8.353,9.438,18.839,1,data_yolo/移動/車載2/距離5m/奥/確認横断/resize.mov
yolo26l-pose,583,59.98,9.72,11.06,18.97,2,data_yolo/移動/車載2/距離5m/奥/不確認横断/resize.mov
yolo26l-pose,594,60.06,9.89,11.234,18.913,2,data_yolo/移動/車載2/距離5m/奥/停止素通り/resize.mov
yolo26l-pose,284,60.021,4.732,5.379,18.941,1,data_yolo/移動/車載2/距離5m/奥/走行横断/resize.mov
yolo26l-pose,928,59.974,15.473,17.412,18.763,1,data_yolo/移動/車載2/距離10m/手前/素通り/resize.mov
yolo26l-pose,773,59.977,12.888,14.458,18.704,1,data_yolo/移動/車載2/距離10m/手前/確認横断/resize.mov
yolo26l-pose,591,58.567,10.091,11.11,18.799,1,data_yolo/移動/車載2/距離10m/手前/不確認横断/resize.mov
yolo26l-pose,1009,59.976,16.823,19.069,18.899,2,data_yolo/移動/車載2/距離10m/手前/停止素通り/resize.mov
yolo26l-pose,413,59.97,6.887,7.741,18.743,1,data_yolo/移動/車載2/距離10m/手前/走行横断/resize.mov
yolo26l-pose,671,59.973,11.188,12.793,19.066,2,data_yolo/移動/車載2/距離10m/奥/素通り/resize.mov
yolo26l-pose,575,59.98,9.587,10.819,18.815,1,data_yolo/移動/車載2/距離10m/奥/確認横断/resize.mov
yolo26l-pose,589,59.96,9.823,11.048,18.757,1,data_yolo/移動/車載2/距離10m/奥/不確認横断/resize.mov
yolo26l-pose,671,59.973,11.188,12.649,18.851,1,data_yolo/移動/車載2/距離10m/奥/停止素通り/resize.mov
yolo26l-pose,333,59.982,5.552,6.264,18.811,1,data_yolo/移動/車載2/距離10m/奥/走行横断/resize.mov
yolo26l-pose,151,54.724,2.759,2.848,18.861,1,data_yolo/停止/路側/距離5m/Behind/1回目/resize.mov
yolo26l-pose,246,57.292,4.294,4.649,18.9,1,data_yolo/停止/路側/距離5m/Behind/3回目/resize.mov
yolo26l-pose,240,54.789,4.38,4.529,18.872,1,data_yolo/停止/路側/距離5m/Behind/2回目/resize.mov
yolo26l-pose,163,57.873,2.817,3.047,18.695,1,data_yolo/停止/路側/距離5m/Right/1回目/resize.mov
yolo26l-pose,181,57.757,3.134,3.401,18.793,1,data_yolo/停止/路側/距離5m/Right/3回目/resize.mov
yolo26l-pose,178,58.984,3.018,3.342,18.773,1,data_yolo/停止/路側/距離5m/Right/2回目/resize.mov
yolo26l-pose,135,52.274,2.583,2.53,18.743,1,data_yolo/停止/路側/距離5m/Left/1回目/resize.mov
yolo26l-pose,203,57.335,3.541,3.824,18.838,1,data_yolo/停止/路側/距離5m/Left/3回目/resize.mov
yolo26l-pose,200,53.03,3.771,3.766,18.828,1,data_yolo/停止/路側/距離5m/Left/2回目/resize.mov
yolo26l-pose,241,57.96,4.158,4.551,18.885,1,data_yolo/停止/路側/距離5m/RightandCheck/1回目/resize.mov
yolo26l-pose,254,59.054,4.301,4.787,18.847,2,data_yolo/停止/路側/距離5m/RightandCheck/3回目/resize.mov
yolo26l-pose,229,58.476,3.916,4.311,18.827,1,data_yolo/停止/路側/距離5m/RightandCheck/2回目/resize.mov
yolo26l-pose,145,51.833,2.797,2.73,18.825,1,data_yolo/停止/路側/距離5m/Front/1回目/resize.mov
yolo26l-pose,199,53.763,3.701,3.752,18.854,8,data_yolo/停止/路側/距離5m/Front/3回目/resize.mov
yolo26l-pose,222,54.09,4.104,4.184,18.848,1,data_yolo/停止/路側/距離5m/Front/2回目/resize.mov
yolo26l-pose,167,53.592,3.116,3.198,19.149,1,data_yolo/停止/路側/距離10m/Behind/1回目/resize.mov
yolo26l-pose,169,56.515,2.99,3.202,18.945,1,data_yolo/停止/路側/距離10m/Behind/3回目/resize.mov
yolo26l-pose,233,56.966,4.09,4.426,18.996,1,data_yolo/停止/路側/距離10m/Behind/2回目/resize.mov
yolo26l-pose,148,53.515,2.766,2.784,18.812,2,data_yolo/停止/路側/距離10m/Right/1回目/resize.mov
yolo26l-pose,182,54.4,3.346,3.422,18.802,1,data_yolo/停止/路側/距離10m/Right/3回目/resize.mov
yolo26l-pose,195,53.392,3.652,3.705,19.001,2,data_yolo/停止/路側/距離10m/Right/2回目/resize.mov
yolo26l-pose,103,49.434,2.084,1.943,18.866,3,data_yolo/停止/路側/距離10m/Left/1回目/resize.mov
yolo26l-pose,225,54.155,4.155,4.246,18.873,4,data_yolo/停止/路側/距離10m/Left/3回目/resize.mov
yolo26l-pose,204,54.241,3.761,3.838,18.812,1,data_yolo/停止/路側/距離10m/Left/2回目/resize.mov
yolo26l-pose,219,58.34,3.754,4.123,18.825,2,data_yolo/停止/路側/距離10m/RightandCheck/1回目/resize.mov
yolo26l-pose,212,54.978,3.856,3.983,18.787,1,data_yolo/停止/路側/距離10m/RightandCheck/3回目/resize.mov
yolo26l-pose,222,55.809,3.978,4.173,18.799,1,data_yolo/停止/路側/距離10m/RightandCheck/2回目/resize.mov
yolo26l-pose,186,54.187,3.433,3.524,18.945,1,data_yolo/停止/路側/距離10m/Front/1回目/resize.mov
yolo26l-pose,202,55.612,3.632,3.87,19.161,1,data_yolo/停止/路側/距離10m/Front/3回目/resize.mov
yolo26l-pose,174,56.586,3.075,3.277,18.834,1,data_yolo/停止/路側/距離10m/Front/2回目/resize.mov
yolo26l-pose,216,59.972,3.602,4.071,18.845,1,data_yolo/停止/車載/距離5m/Behind/1回目/resize.mov
yolo26l-pose,200,59.97,3.335,3.768,18.841,2,data_yolo/停止/車載/距離5m/Behind/3回目/resize.mov
yolo26l-pose,230,60.0,3.833,4.339,18.867,1,data_yolo/停止/車載/距離5m/Behind/2回目/resize.mov
yolo26l-pose,131,59.955,2.185,2.462,18.798,1,data_yolo/停止/車載/距離5m/Right/1回目/resize.mov
yolo26l-pose,255,59.976,4.252,4.79,18.784,1,data_yolo/停止/車載/距離5m/Right/3回目/resize.mov
yolo26l-pose,252,59.976,4.202,4.738,18.801,1,data_yolo/停止/車載/距離5m/Right/2回目/resize.mov
yolo26l-pose,177,59.966,2.952,3.343,18.885,1,data_yolo/停止/車載/距離5m/Left/1回目/resize.mov
yolo26l-pose,215,59.972,3.585,4.165,19.371,1,data_yolo/停止/車載/距離5m/Left/3回目/resize.mov
yolo26l-pose,221,59.973,3.685,4.18,18.916,1,data_yolo/停止/車載/距離5m/Left/2回目/resize.mov
yolo26l-pose,290,59.98,4.835,5.502,18.973,1,data_yolo/停止/車載/距離5m/RightandCheck/1回目/resize.mov
yolo26l-pose,252,59.976,4.202,4.742,18.817,1,data_yolo/停止/車載/距離5m/RightandCheck/3回目/resize.mov
yolo26l-pose,237,59.975,3.952,4.467,18.847,1,data_yolo/停止/車載/距離5m/RightandCheck/2回目/resize.mov
yolo26l-pose,216,59.972,3.602,4.066,18.825,1,data_yolo/停止/車載/距離5m/Front/1回目/resize.mov
yolo26l-pose,208,59.971,3.468,3.943,18.956,1,data_yolo/停止/車載/距離5m/Front/3回目/resize.mov
yolo26l-pose,208,59.971,3.468,3.912,18.81,1,data_yolo/停止/車載/距離5m/Front/2回目/resize.mov
yolo26l-pose,208,59.971,3.468,3.913,18.81,1,data_yolo/停止/車載/距離10m/Behind/1回目/resize.mov
yolo26l-pose,208,59.971,3.468,3.949,18.986,1,data_yolo/停止/車載/距離10m/Behind/3回目/resize.mov
yolo26l-pose,212,59.972,3.535,4.036,19.039,1,data_yolo/停止/車載/距離10m/Behind/2回目/resize.mov
yolo26l-pose,210,60.0,3.5,3.975,18.93,1,data_yolo/停止/車載/距離10m/Right/1回目/resize.mov
yolo26l-pose,207,59.971,3.452,3.912,18.899,1,data_yolo/停止/車載/距離10m/Right/3回目/resize.mov
yolo26l-pose,219,59.973,3.652,4.113,18.779,1,data_yolo/停止/車載/距離10m/Right/2回目/resize.mov
yolo26l-pose,216,59.972,3.602,4.071,18.848,1,data_yolo/停止/車載/距離10m/Left/1回目/resize.mov
yolo26l-pose,223,59.973,3.718,4.284,19.21,1,data_yolo/停止/車載/距離10m/Left/3回目/resize.mov
yolo26l-pose,215,59.972,3.585,4.045,18.815,1,data_yolo/停止/車載/距離10m/Left/2回目/resize.mov
yolo26l-pose,301,59.98,5.018,5.686,18.89,1,data_yolo/停止/車載/距離10m/RightandCheck/1回目/resize.mov
yolo26l-pose,211,59.972,3.518,3.965,18.794,1,data_yolo/停止/車載/距離10m/RightandCheck/3回目/resize.mov
yolo26l-pose,247,59.976,4.118,4.652,18.834,1,data_yolo/停止/車載/距離10m/RightandCheck/2回目/resize.mov
yolo26l-pose,226,60.0,3.767,4.296,19.008,1,data_yolo/停止/車載/距離10m/Front/1回目/resize.mov
yolo26l-pose,212,59.972,3.535,3.974,18.746,1,data_yolo/停止/車載/距離10m/Front/3回目/resize.mov
yolo26l-pose,213,59.972,3.552,4.027,18.908,1,data_yolo/停止/車載/距離10m/Front/2回目/resize.mov
